iter	Logloss
0	0.6270827238
1	0.5717354794
2	0.5288812629
3	0.4973616234
4	0.4714247258
5	0.4506941309
6	0.4342015018
7	0.4215801684
8	0.4108236964
9	0.4027843769
10	0.396401154
11	0.3904811695
12	0.3857213945
13	0.3821417477
14	0.3791559747
15	0.3756302422
16	0.3729288882
17	0.3708955058
18	0.3682472407
19	0.3661856097
20	0.364372854
21	0.3627444946
22	0.3612535037
23	0.3600752333
24	0.3588005189
25	0.3577697844
26	0.3565534161
27	0.3557328196
28	0.3549938433
29	0.3542297399
30	0.3535394132
31	0.3529597496
32	0.3523278905
33	0.3517457869
34	0.3512072486
35	0.3508271928
36	0.3503401364
37	0.349932274
38	0.3492854661
39	0.3487487753
40	0.3483431875
41	0.3477833751
42	0.3473898105
43	0.3469519512
44	0.3465443799
45	0.3462298504
46	0.3459125687
47	0.3456854192
48	0.3454153943
49	0.3450373194
50	0.3447874404
51	0.3445977362
52	0.3442820646
53	0.3440186375
54	0.3436321515
55	0.3433081702
56	0.3430197678
57	0.3427466988
58	0.3424777107
59	0.3422668334
60	0.3420107165
61	0.341748804
62	0.3415566138
63	0.3412777903
64	0.3409373675
65	0.3407437904
66	0.3405608243
67	0.3403057476
68	0.340174945
69	0.3400269047
70	0.3398811668
71	0.3396056351
72	0.3393633287
73	0.3391712039
74	0.3389652302
75	0.3388147213
76	0.3386353771
77	0.3384554262
78	0.3381687958
79	0.3379327019
80	0.3376758356
81	0.3374470513
82	0.3371650578
83	0.3369950503
84	0.3368573957
85	0.3366999628
86	0.3365667918
87	0.3364186465
88	0.3362673359
89	0.3361319749
90	0.3358320686
91	0.3357172334
92	0.3355988366
93	0.3354584312
94	0.335278197
95	0.335077528
96	0.3349315124
97	0.3346552828
98	0.3345161257
99	0.3343545591
