iter	Passed	Remaining
0	219	21713
1	286	14023
2	353	11425
3	431	10344
4	500	9501
5	575	9011
6	642	8540
7	710	8167
8	790	7996
9	862	7766
10	921	7459
11	978	7173
12	1029	6890
13	1087	6682
14	1143	6480
15	1196	6280
16	1251	6110
17	1304	5942
18	1359	5795
19	1408	5634
20	1457	5483
21	1512	5361
22	1562	5229
23	1615	5114
24	1665	4996
25	1716	4884
26	1768	4782
27	1815	4669
28	1865	4567
29	1928	4499
30	1981	4409
31	2031	4317
32	2080	4224
33	2135	4145
34	2188	4064
35	2239	3982
36	2293	3904
37	2344	3825
38	2398	3751
39	2450	3676
40	2507	3607
41	2557	3532
42	2608	3458
43	2664	3390
44	2711	3314
45	2764	3244
46	2817	3177
47	2868	3107
48	2919	3039
49	2970	2970
50	3026	2907
51	3079	2842
52	3132	2778
53	3184	2712
54	3235	2647
55	3307	2598
56	3370	2542
57	3433	2486
58	3492	2427
59	3553	2369
60	3606	2305
61	3661	2244
62	3715	2181
63	3776	2124
64	3851	2074
65	3914	2016
66	3979	1960
67	4042	1902
68	4104	1844
69	4171	1787
70	4233	1729
71	4305	1674
72	4374	1617
73	4437	1559
74	4503	1501
75	4567	1442
76	4630	1383
77	4757	1341
78	4846	1288
79	4901	1225
80	4955	1162
81	5006	1099
82	5056	1035
83	5109	973
84	5161	910
85	5214	848
86	5265	786
87	5320	725
88	5381	665
89	5444	604
90	5504	544
91	5562	483
92	5619	422
93	5710	364
94	5796	305
95	5861	244
96	5917	183
97	5973	121
98	6029	60
99	6085	0
